,code,stock_name,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,aux_price,trail_type,trail_value,trail_spread,currency
28,US.AMGN,Amgen,BUY,MARKET,FILLED_ALL,2031446,1.0,0.0,2024-08-13 10:12:30,2024-08-13 10:12:32,1.0,320.53,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
29,US.CI,The Cigna Group,BUY,MARKET,FILLED_ALL,2031445,1.0,0.0,2024-08-13 09:45:40,2024-08-13 09:45:41,1.0,331.96,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
30,US.CI,The Cigna Group,SELL,MARKET,FILLED_ALL,2031444,1.0,0.0,2024-08-13 09:42:19,2024-08-13 09:42:23,1.0,330.54,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
31,US.WM,Waste Management,BUY,MARKET,FILLED_ALL,2031442,1.0,0.0,2024-08-13 09:35:37,2024-08-13 09:35:38,1.0,203.24,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
32,US.NSC,Norfolk Southern,BUY,MARKET,FILLED_ALL,2031441,1.0,0.0,2024-08-13 09:32:18,2024-08-13 09:32:19,1.0,238.59,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
33,US.CI,The Cigna Group,BUY,MARKET,FILLED_ALL,2031440,1.0,0.0,2024-08-13 09:32:13,2024-08-13 09:32:15,1.0,331.0,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
34,US.QCOM,Qualcomm,SELL,MARKET,FILLED_ALL,2031439,1.0,0.0,2024-08-13 09:32:08,2024-08-13 09:32:12,1.0,164.15,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
35,US.QCOM,Qualcomm,BUY,MARKET,FILLED_ALL,2031396,1.0,0.0,2024-08-12 12:00:07,2024-08-12 12:00:10,1.0,163.13,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
36,US.MCK,McKesson,BUY,MARKET,FILLED_ALL,2031395,1.0,0.0,2024-08-12 10:53:29,2024-08-12 10:53:32,1.0,552.3,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
37,US.UNH,UnitedHealth,BUY,MARKET,FILLED_ALL,2031394,1.0,0.0,2024-08-12 10:53:16,2024-08-12 10:53:20,1.0,566.17,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
38,US.MCK,McKesson,SELL,MARKET,FILLED_ALL,2031393,1.0,0.0,2024-08-12 10:50:08,2024-08-12 10:50:13,1.0,550.75,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
39,US.UNH,UnitedHealth,SELL,MARKET,FILLED_ALL,2031392,1.0,0.0,2024-08-12 10:49:56,2024-08-12 10:50:01,1.0,566.87,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
